pitch_type,zone,hand,n,ball,called,whiff,foul,out,single,double,hr,ball_pct,called_pct,whiff_pct,foul_pct,out_pct,single_pct,double_pct,hr_pct
FS,8,RR,168,0,20,35,58,41,8,4,2,0.0,11.9,20.8,34.5,24.4,4.8,2.4,1.2
FS,8,RL,272,0,44,59,87,56,13,7,6,0.0,16.2,21.7,32.0,20.6,4.8,2.6,2.2
FS,8,LR,42,0,2,17,13,6,1,1,2,0.0,4.8,40.5,31.0,14.3,2.4,2.4,4.8
FS,8,LL,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
FS,9,RR,98,0,23,24,26,14,10,1,0,0.0,23.5,24.5,26.5,14.3,10.2,1.0,0.0
FS,9,RL,135,0,49,25,42,12,4,0,3,0.0,36.3,18.5,31.1,8.9,3.0,0.0,2.2
FS,9,LR,38,0,5,13,5,12,3,0,0,0.0,13.2,34.2,13.2,31.6,7.9,0.0,0.0
FS,9,LL,1,0,0,1,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
FS,11,RR,122,79,0,7,17,13,3,2,1,64.8,0.0,5.7,13.9,10.7,2.5,1.6,0.8
FS,11,RL,382,320,0,8,30,17,7,0,0,83.8,0.0,2.1,7.9,4.5,1.8,0.0,0.0
